股票代码_StkCd,证监会行业门类代码_CsrcICCd1
002349,C
002350,C
002351,C
002352,C
002353,B
002354,C
002355,C
002356,C
002357,G
002358,C
002359,C
002360,C
002361,C
002362,I
002363,C
002365,C
002366,C
002367,C
002368,I
002369,C
002370,C
002371,C
002373,I
002374,C
002376,C
002377,C
002378,C
002379,C
002380,C
002381,C
002382,C
002383,C
002384,C
002385,C
002386,C
002387,C
002388,C
002389,C
002390,C
002391,C
002392,C
002393,C
002394,C
002395,C
002396,C
002397,C
002398,M
002399,C
002400,M
002401,I
002402,C
002403,C
002404,C
002405,I
002406,C
002407,C
002408,C
002409,C
002410,I
002411,C
002412,C
002413,C
002415,C
002417,C
002418,C
002419,F
002420,C
002421,I
002422,C
002423,C
002424,C
002425,C
002426,C
002427,C
002428,C
002429,C
002430,C
002432,C
002433,C
002434,C
002435,C
002436,C
002437,C
002438,C
300001,C
300002,I
300003,C
300004,C
300005,F
300007,C
300008,M
300009,C
300010,I
300011,C
300012,M
300013,G
300014,C
300015,Q
300017,I
300019,C
300020,I
300021,C
300022,F
300023,C
300024,C
300025,I
300026,C
300027,R
300029,C
300030,C
300031,C
300032,C
300033,I
300034,C
300035,C
300036,I
300037,C
300038,C
300039,C
300040,C
300041,C
300042,I
300043,C
300044,I
300045,C
300046,C
300047,I
300048,C
300049,C
300050,C
300052,I
300053,C
300054,C
300055,M
300056,C
300057,C
300059,I
300061,C
300062,C
300063,C
300064,C
300065,I
300066,C
300067,C
300068,C
300069,C
300070,O
300071,R
300072,C
300073,C
300074,I
300075,I
300076,C
300077,C
300078,C
300079,C
300080,C
300081,I
300082,C
300083,C
300084,B
300085,I
300086,C
300087,A
300088,C
300089,C
300090,C
300091,C
