股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600990,四创电子,C,1.3279
600992,贵绳股份,C,0.8345
600993,马应龙,F,0.7489
600995,文山电力,D,0.5642
600997,开滦股份,C,2.1395
600998,九州通,F,-0.8141
601000,唐山港,G,0.729
601001,大同煤业,B,1.743
601002,晋亿实业,C,1.4067
601003,柳钢股份,C,0.7542
601006,大秦铁路,G,1.4567
601007,金陵饭店,H,1.0312
601008,连云港,G,2.501
601010,文峰股份,F,0.8754
601011,宝泰隆,C,3.2279
601018,宁波港,G,2.1268
601028,玉龙股份,C,1.6685
601058,赛轮金宇,C,1.1336
601098,中南传媒,R,1.8686
601100,恒立液压,C,0.2671
601101,昊华能源,B,2.2174
601106,*ST一重,C,1.0888
601116,三江购物,F,2.1402
601118,海南橡胶,A,4.0895
601126,四方股份,C,1.1678
601137,博威合金,C,0.9496
601139,深圳燃气,D,1.3707
601158,重庆水务,D,1.1621
601168,西部矿业,B,1.2403
601177,杭齿前进,C,1.8027
601179,中国西电,C,0.5542
601188,龙江交通,G,1.0845
601199,江南水务,D,0.8887
601208,东材科技,C,0.1515
601216,君正集团,C,-1.2899
601218,吉鑫科技,C,1.2014
601231,环旭电子,C,1.9452
601233,桐昆股份,C,2.1999
601258,庞大集团,F,1.0465
601311,骆驼股份,C,1.0898
601313,江南嘉捷,C,0.5709
601339,百隆东方,C,0.3105
601369,陕鼓动力,C,1.5503
601388,怡球资源,C,1.3287
601515,东风股份,C,0.482
601518,吉林高速,G,0.9944
601558,*ST锐电,C,2.5253
601566,九牧王,C,1.4059
601567,三星医疗,C,0.9781
601599,鹿港文化,C,2.0929
601608,中信重工,C,1.2797
601616,广电电气,C,1.3244
601636,旗滨集团,C,0.5263
601666,平煤股份,B,1.9039
601677,明泰铝业,C,1.5144
601678,滨化股份,C,0.7991
601699,潞安环能,B,2.4184
601700,风范股份,C,-0.0649
601718,际华集团,C,1.4649
601798,蓝科高新,C,0.978
601799,星宇股份,C,1.3124
601801,皖新传媒,R,1.4893
601872,招商轮船,G,1.938
601877,正泰电器,C,0.4366
601888,中国国旅,L,2.173
601890,亚星锚链,C,1.8856
601908,京运通,C,1.9725
601918,新集能源,B,1.4773
601929,吉视传媒,I,0.2229
601933,永辉超市,F,0.7684
601958,金钼股份,B,1.4975
601965,中国汽研,C,0.1899
601989,中国重工,C,3.2316
601996,丰林集团,C,2.0429
601999,出版传媒,R,2.22
603000,人民网,I,3.2191
603001,奥康国际,C,1.4884
603002,宏昌电子,C,1.4192
603003,龙宇燃油,F,1.9042
603008,喜临门,C,1.0866
603077,和邦生物,C,2.045
603128,华贸物流,G,6.6553
603167,渤海轮渡,G,1.1215
603333,明星电缆,C,0.7255
603366,日出东方,C,0.8849
603399,新华龙,C,1.5921
603766,隆鑫通用,C,-0.6905
