股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
002106,莱宝高科,C,1.2744
002107,沃华医药,C,1.3314
002108,沧州明珠,C,1.3054
002109,兴化股份,C,1.1835
002110,三钢闽光,C,0.4528
002111,威海广泰,C,1.2139
002112,三变科技,C,1.0581
002113,天润数娱,K,1.2927
002114,罗平锌电,C,0.7462
002115,三维通信,C,1.1725
002116,中国海诚,M,1.2651
002117,东港股份,C,1.4869
002118,紫鑫药业,C,1.2827
002119,康强电子,C,0.7011
002120,韵达股份,C,1.467
002121,科陆电子,C,1.108
002122,天马股份,C,1.138
002123,梦网荣信,C,1.3536
002126,银轮股份,C,1.8157
002128,露天煤业,B,0.75
002129,中环股份,C,1.2638
002130,沃尔核材,C,1.1523
002131,利欧股份,C,0.4474
002132,恒星科技,C,0.9933
002133,广宇集团,K,0.8873
002134,*ST普林,C,1.0587
002136,安纳达,C,1.5913
002137,麦达数字,C,0.8816
002138,顺络电子,C,0.4419
002139,拓邦股份,C,1.4006
002141,贤丰控股,C,0.6402
002144,宏达高科,C,0.9013
002145,中核钛白,C,1.7629
002146,荣盛发展,K,0.7375
002147,新光圆成,C,1.095
002148,北纬通信,I,0.6444
002149,西部材料,C,1.3657
002150,通润装备,C,1.1214
002151,北斗星通,C,1.8205
002152,广电运通,C,1.2417
002153,石基信息,I,1.178
002154,报喜鸟,C,1.4277
002156,通富微电,C,1.2154
002157,正邦科技,C,1.2911
002158,汉钟精机,C,1.2437
002159,三特索道,N,0.5612
002161,远望谷,C,1.8093
002162,悦心健康,C,0.9636
002164,宁波东力,C,1.0006
002165,红宝丽,C,1.0371
002167,东方锆业,C,1.5657
002168,深圳惠程,C,1.3056
002169,智光电气,C,1.5178
002170,芭田股份,C,0.6587
002172,澳洋科技,C,1.3904
002173,创新医疗,C,1.1173
002176,江特电机,C,0.9017
002177,御银股份,C,1.4377
002178,延华智能,M,1.0429
002179,中航光电,C,1.3667
002182,云海金属,C,1.2341
002183,怡亚通,L,1.2201
002184,海得控制,C,1.3266
002185,华天科技,C,1.311
002187,广百股份,F,0.9702
002188,巴士在线,C,0.8086
002191,劲嘉股份,C,0.9603
002192,融捷股份,C,1.2918
002194,武汉凡谷,C,1.1412
002197,证通电子,C,1.1581
002198,嘉应制药,C,0.4643
002199,东晶电子,C,1.4395
002201,九鼎新材,C,1.0465
002203,海亮股份,C,1.1944
002204,大连重工,C,1.051
002205,国统股份,C,1.256
002206,海利得,C,1.214
002207,*ST准油,B,1.0913
002208,合肥城建,K,0.8711
002209,达意隆,C,0.8319
002210,飞马国际,L,1.6811
002212,南洋股份,C,1.1396
002214,大立科技,C,1.9391
002215,诺普信,C,1.2692
002216,三全食品,C,1.0815
002218,拓日新能,C,1.0208
002219,恒康医疗,C,0.8549
002220,天宝股份,C,0.9217
002221,东华能源,F,1.0082
002222,福晶科技,C,1.2395
002223,鱼跃医疗,C,1.1119
002224,三力士,C,0.9541
002225,濮耐股份,C,0.8557
002226,江南化工,C,1.1962
002227,奥特迅,C,1.866
002228,合兴包装,C,0.8794
002229,鸿博股份,C,1.2995
002230,科大讯飞,I,0.7846
002232,启明信息,I,1.4115
002233,塔牌集团,C,0.8611
002234,民和股份,A,1.2198
002235,安妮股份,C,1.1981
002236,大华股份,C,0.6123
002237,恒邦股份,C,1.3103
002238,天威视讯,I,1.4277
002239,奥特佳,C,0.8726
002241,歌尔股份,C,0.2588
